,city,lat_lngs,lat,long,temp,max_temp,humidity,wind_speed,clouds
146,trairi,"(-0.015434524817692363, -37.084037428932305)",-0.015434524817692363,-37.084037428932305,26.8,26.8,74,5.35,1
147,ponta do sol,"(21.769698977478598, -33.704150037794875)",21.769698977478598,-33.704150037794875,16.48,18.0,72,2.1,20
148,kincardine,"(44.508062380828335, -82.17437636267799)",44.508062380828335,-82.17437636267799,5.12,6.11,100,2.6,90
149,sur,"(16.498855920952323, 61.678964208853216)",16.498855920952323,61.678964208853216,24.09,24.09,76,3.39,0
150,alice springs,"(-20.427551352003363, 135.07880803903737)",-20.427551352003363,135.07880803903737,16.0,16.0,23,2.1,51
151,kintampo,"(8.199817943668833, -1.7797151349659543)",8.199817943668833,-1.7797151349659543,26.26,26.26,54,1.81,100
152,east london,"(-61.69378243131976, 44.86611869458923)",-61.69378243131976,44.86611869458923,20.76,20.76,81,4.88,0
153,yeppoon,"(-19.754793559276592, 154.50982568949854)",-19.754793559276592,154.50982568949854,24.0,24.0,64,5.1,90
154,bilibino,"(67.14766140907471, 164.58524917553734)",67.14766140907471,164.58524917553734,-17.1,-17.1,90,0.87,100
155,saskylakh,"(82.29500962346037, 113.75112134193057)",82.29500962346037,113.75112134193057,-22.55,-22.55,89,3.21,0
156,dolores,"(-35.83361196820968, -57.035502754124394)",-35.83361196820968,-57.035502754124394,21.56,21.56,70,4.09,4
157,tasiilaq,"(75.34545311348978, -35.56265866528247)",75.34545311348978,-35.56265866528247,-3.0,-3.0,92,3.6,49
158,karachi,"(25.15690346052547, 66.88783904497919)",25.15690346052547,66.88783904497919,19.0,19.0,55,2.1,0
159,ribeira grande,"(41.54701769580632, -39.32016111169668)",41.54701769580632,-39.32016111169668,15.0,15.0,77,4.6,40
160,namibe,"(-15.270091515590238, 10.694462886514685)",-15.270091515590238,10.694462886514685,21.33,21.33,67,4.59,28
162,bintulu,"(2.913440877263014, 114.4716914255115)",2.913440877263014,114.4716914255115,25.0,25.0,94,1.02,20
163,klaksvik,"(62.58483889401984, -3.673006521868018)",62.58483889401984,-3.673006521868018,6.0,6.0,81,4.1,93
164,mahebourg,"(-39.25523605547758, 71.62442162845824)",-39.25523605547758,71.62442162845824,23.0,23.0,78,3.1,75
